"Price","PostedBy","UnCon","RERA","NoR","ToP","Size","RtM","RoN","Longitude","Latitude","NoS","NoP"
"418","Dealer",0,0,3,"BHK","1668.662675",1,1,30.752321,76.772816,0,3
"132","Owner",0,0,1,"BHK","587.9732739",1,1,21.6881,72.2763,1,0
"1500","Dealer",0,1,2,"BHK","1211.827436",1,1,19.1849,72.8347,4,2
"330","Dealer",0,0,3,"BHK","1100",1,1,26.8626,75.7633,3,2
"200","Owner",0,0,3,"BHK","800",1,1,28.66667,77.41667,1,2
"450","Dealer",1,1,1,"BHK","700.0622278",0,1,21.56128,74.21238,1,0
"480","Dealer",0,0,2,"BHK","2368.031574",1,1,22.82281,73.303212,2,1
"1500","Dealer",0,0,2,"BHK","955.4140127",1,1,19.255098,72.9815265,2,2
"350","Owner",0,0,1,"BHK","665.0199506",1,1,16.223616,77.363236,1,1
"1500","Dealer",1,1,2,"BHK","996.0820772",0,1,18.96,72.82,2,2
NA,"Owner",0,0,2,"BHK","919.1176471",1,1,12.778033,77.632191,1,2
"2000","Dealer",0,0,3,"BHK","2350.176263",1,1,13.04034,77.591347,5,3
"300","Owner",0,0,2,"BHK","722.0216606",1,1,11,76.96667,0,2
"869","Dealer",1,0,4,"BHK","1450.751252",0,0,22.54111,88.33778,2,3
"220","Owner",0,0,2,"BHK","700.1909612",1,1,12.841795,80.133809,1,1
"650","Dealer",1,1,2,"BHK","1521.179499",0,1,30.739007,76.748393,2,2
"400","Dealer",0,0,4,"BHK","1461.454147",1,1,28.634537,77.471342,0,4
"750","Dealer",0,0,1,"BHK","704.9534731",1,1,19.18,72.96333,3,1
"1100","Dealer",1,1,2,"BHK","641.5490493",0,0,28.743724,76.811315,3,1
"550","Owner",0,0,2,"BHK","1500.272777",1,1,12.96991,77.59796,2,2
"169","Dealer",0,1,2,"BHK","849.6732026",1,1,30.712867,76.648557,1,2
"700","Dealer",0,0,3,"BHK","1555.209953",1,1,13.0318,77.6583,1,2
"427","Dealer",1,1,2,"BHK","1067.5",0,0,13.0318,77.6583,0,2
"520","Owner",0,0,2,"BHK","1395.224041",1,1,22.761472,75.911242,1,1
"160","Dealer",0,0,2,"BHK","500",1,1,22.64,88.37,0,2
"644","Dealer",0,0,3,"BHK","1238.461538",1,1,22.54111,88.33778,1,2
"186","Dealer",1,1,1,"BHK","600",0,1,19.6394,72.7256,2,0
"820","Dealer",0,0,3,"BHK","1450.044209",1,1,22.5922,88.484911,2,2
"950","Dealer",0,1,2,"BHK","1350.007105",1,1,25.4513,81.828,1,2
"7800","Dealer",0,1,4,"BHK","2224.059764",1,1,19.1615,72.8731,10,3
"850","Owner",1,1,2,"BHK","984.9362688",0,1,13.055985,77.622157,1,1
"680","Dealer",0,1,1,"BHK","453.0011325",1,1,24.69028,78.41889,2,1
"540","Dealer",0,1,3,"BHK","1350",1,1,28.5035,77.426447,3,2
"756","Dealer",0,1,3,"BHK","1426.68428",1,1,12.91716,80.19287,3,3
"650","Owner",0,0,2,"BHK","885.0762527",1,1,18.590877,73.862713,3,1
"480","Owner",0,0,2,"BHK","1440.144014",1,1,23.166495,72.63429,2,1
"3900","Owner",0,0,3,"BHK","1500",1,1,19.097244,72.846785,5,3
"1200","Dealer",0,1,1,"BHK","418.9066536",1,1,19.05871,72.89969,2,1
"1200","Dealer",0,0,3,"BHK","1500",1,1,18.5442,73.7948,2,2
"1100","Dealer",0,0,3,"BHK","1660.126773",1,1,12.928575,77.585721,3,3
"1100","Dealer",0,0,3,"BHK","1517.660044",1,1,15.45056,73.80333,2,2
"1100","Dealer",0,1,2,"BHK","1222.222222",1,1,12.8682,77.5321,1,1
"5600","Dealer",0,1,4,"BHK","2577.082375",1,1,19.05871,72.89969,6,3
"420","Owner",0,0,2,"BHK","1270.033263",1,1,28.650735,77.4224,0,1
"2700","Dealer",0,0,3,"BHK","1686.130019",1,1,12.96991,77.59796,4,3
"210","Dealer",0,0,2,"BHK","969.9769053",1,1,25.879721,86.587391,0,1
"1000","Dealer",0,1,3,"BHK","1650.165017",1,1,18.097689,74.735239,2,3
"245","Owner",0,0,2,"BHK","980",1,1,26.89364,75.775453,1,2
"650","Dealer",0,0,2,"BHK","890.0451869",1,1,28.582887,77.339935,1,1
"605","Dealer",1,1,3,"BHK","1420.187793",0,1,30.756258,76.655851,3,2
"460","Dealer",0,1,3,"BHK","1550.387597",1,1,28.629811,77.434197,1,3
"345","Dealer",0,1,3,"BHK","1235.230934",1,1,26.900926,75.775927,0,2
"500","Dealer",1,0,1,"BHK","725.0580046",0,1,24.69028,78.41889,4,1
"450","Owner",0,0,2,"BHK","1070.154578",1,1,28.506454,77.409568,1,1
"700","Dealer",0,0,3,"BHK","1725.412867",1,1,28.408144,76.963756,1,3
"630","Owner",0,0,2,"BHK","1162.576121",1,1,15.40194,74.04333,1,2
"260","Owner",0,0,2,"BHK","899.9653859",1,1,12.732961,77.707059,2,1
"279","Dealer",0,0,1,"BHK","1195.885126",1,1,24.69028,78.41889,2,1
"400","Owner",0,0,2,"BHK","1199.760048",1,1,20.45,85.86667,1,1
"525","Owner",0,0,2,"BHK","940.0179051",1,1,12.778033,77.632191,4,2
"400","Owner",0,0,2,"BHK","8752.73523",1,1,11.03143,77.01262,1,1
"2400","Dealer",0,0,2,"BHK","1175.548589",1,1,19.139348,72.820458,5,1
"650","Owner",0,1,2,"BHK","1145.172657",1,1,28.579004,77.431173,3,1
"600","Owner",0,0,3,"BHK","2050.580998",1,1,28.365512,77.346306,1,2
"1800","Owner",0,0,4,"BHK","2100.105005",1,1,28.585757,77.396668,3,4
"980","Dealer",0,1,3,"BHK","1739.747914",1,1,18.637802,73.745912,2,3
"2400","Dealer",0,1,2,"BHK","1175.548589",1,1,19.05871,72.89969,3,1
"1500","Dealer",0,0,3,"BHK","2000",1,1,18.558319,73.77588,4,2
"200","Builder",1,1,2,"BHK","596.8367651",0,0,21.71676,72.115717,1,2
"215","Dealer",0,0,1,"BHK","600.0558191",1,1,18.5823,73.983,0,1
"270","Dealer",0,0,2,"BHK","975.0812568",1,1,12.973237,77.646859,2,2
"1900","Dealer",0,0,2,"BHK","862.3428494",1,1,19.12,72.91,3,1
"4200","Dealer",0,0,4,"BHK","2855.977152",1,1,19.255098,72.9815265,4,3
"1600","Dealer",0,0,2,"BHK","1087.843351",1,1,24.69028,78.41889,2,1
"670","Dealer",0,0,2,"BHK","1290.198344",1,1,12.96991,77.59796,2,1
"1400","Dealer",0,0,3,"BHK","2202.296681",1,1,13.338634,77.759291,3,2
"195","Owner",0,0,1,"BHK","702.1966151",1,1,22.72781,75.963175,1,1
"462","Builder",0,0,2,"BHK","1062.068966",1,0,12.833224,80.210726,1,2
"833","Dealer",1,1,2,"BHK","1041.25",0,1,19.283359,72.864964,1,2
"320","Dealer",0,0,2,"BHK","1250",1,1,28.629811,77.434197,0,1
"260","Dealer",0,0,2,"BHK","865.2246256",1,1,21,77,1,2
